Count: 2183  Distance: 96
Count: 2184  Distance: 94
Count: 2185  Distance: 94
Count: 2186  Distance: 94
Count: 2187  Distance: 95
Count: 2188  Distance: 94
Count: 2189  Distance: 95
Count: 2190  Distance: 95
Count: 2191  Distance: 95
CouCount: 4160  Distance: 50
Count: 4161  Distance: 51
Count: 4162  Distance: 50
Count: 4163  Distance: 51
Count: 4164  Distance: 51
Count: 4165  Distance: 51
Count: 4166  Distance: 51
Count: 4167  Distance: 51
Count: 4168  Distance: 51
Count: 4169  Distance: 51
Count: 4170  Distance: 51
Count: 4171  Distance: 51
Count: 4172  Distance: 51
Count: 4173  Distance: 52
Count: 4174  Distance: 51
Count: 4175  Distance: 52
Count: 4176  Distance: 51
Count: 4177  Distance: 52
Count: 4178  Distance: 51
Count: 4179  Distance: 52
Count: 4180  Distance: 51
Count: 4181  Distance: 52
Count: 4182  Distance: 52
Count: 4183  Distance: 52
Count: 4184  Distance: 51
Count: 4185  Distance: 53
Count: 4186  Distance: 52
Count: 4187  Distance: 52
Count: 4188  Distance: 51
Count: 4189  Distance: 52
Count: 4190  Distance: 50
Count: 4191  Distance: 52
Count: 4192  Distance: 51
Count: 4193  Distance: 50
Count: 4194  Distance: 51
Count: 4195  Distance: 50
Count: 4196  Distance: 52
Count: 4197  Distance: 51
Count: 4198  Distance: 51
Count: 4199  Distance: 52
Count: 4200  Distance: 51
Count: 4201  Distance: 52
Count: 4202  Distance: 52
Count: 4203  Distance: 52
Count: 4204  Distance: 51
Count: 4205  Distance: 52
Count: 4206  Distance: 51
Count: 4207  Distance: 52
Count: 4208  Distance: 50
Count: 4209  Distance: 52
Count: 4210  Distance: 51
Count: 4211  Distance: 51
Count: 4212  Distance: 52
Count: 4213  Distance: 51
Count: 4214  Distance: 51
Count: 4215  Distance: 51
Count: 4216  Distance: 51
Count: 4217  Distance: 51
Count: 4218  Distance: 51
Count: 4219  Distance: 51
Count: 4220  Distance: 51
Count: 4221  Distance: 51
Count: 4222  Distance: 51
Count: 4223  Distance: 51
Count: 4224  Distance: 51
Count: 4225  Distance: 51
Count: 4226  Distance: 51
Count: 4227  Distance: 52
Count: 4228  Distance: 51
Count: 4229  Distance: 51
Count: 4230  Distance: 51
Count: 4231  Distance: 51
Count: 4232  Distance: 51
Count: 4233  Distance: 51
Count: 4234  Distance: 51
Count: 4235  Distance: 51
Count: 4236  Distance: 51
Count: 4237  Distance: 51
Count: 4238  Distance: 51
Count: 4239  Distance: 51
Count: 4240  Distance: 51
Count: 4241  Distance: 51
Count: 4242  Distance: 51
Count: 4243  Distance: 51
Count: 4244  Distance: 51
Count: 4245  Distance: 53
Count: 4246  Distance: 51
Count: 4247  Distance: 51
Count: 4248  Distance: 51
Count: 4249  Distance: 52
Count: 4250  Distance: 53
Count: 4251  Distance: 52
Count: 4252  Distance: 53
Count: 4253  Distance: 53
Count: 4254  Distance: 51
Count: 4255  Distance: 53
Count: 4256  Distance: 51
Count: 4257  Distance: 52
Count: 4258  Distance: 53
Count: 4259  Distance: 52
Count: 4260  Distance: 51
Count: 4261  Distance: 51
Count: 4262  Distance: 51
Count: 4263  Distance: 51
Count: 4264  Distance: 51
Count: 4265  Distance: 51
Count: 4266  Distance: 51
Count: 4267  Distance: 51
Welcome to the Pulsed Light lidar test program!
Count: 1  Distance: 52
Count: 2  Distance: 50
Count: 3  Distance: 52
Count: 4  Distance: 51
Count: 5  Distance: 52
Count: 6  Distance: 51
Count: 7  Distance: 51
Count: 8  Distance: 51
Count: 9  Distance: 51
Count: 10  Distance: 50
Count: 11  Distance: 51
Count: 12  Distance: 51
Count: 13  Distance: 51
Count: 14  Distance: 51
Count: 15  Distance: 51
Count: 16  Distance: 51
Count: 17  Distance: 51
Count: 18  Distance: 51
Count: 19  Distance: 51
Count: 20  Distance: 51
Count: 21  Distance: 52
Count: 22  Distance: 51
Count: 23  Distance: 52
Count: 24  Distance: 51
Count: 25  Distance: 51
Count: 26  Distance: 51
Count: 27  Distance: 51
Count: 28  Distance: 51
Count: 29  Distance: 51
Count: 30  Distance: 51
Count: 31  Distance: 51
Count: 32  Distance: 51
Count: 33  Distance: 51
Count: 34  Distance: 51
Count: 35  Distance: 51
Count: 36  Distance: 51
Count: 37  Distance: 51
Count: 38  Distance: 50
Count: 39  Distance: 51
Count: 40  Distance: 51
Count: 41  Distance: 51
Count: 42  Distance: 51
Count: 43  Distance: 50
Count: 44  Distance: 52
Count: 45  Distance: 51
Count: 46  Distance: 50
Count: 47  Distance: 50
Count: 48  Distance: 50
Count: 49  Distance: 51
Count: 50  Distance: 51
Count: 51  Distance: 51
Count: 52  Distance: 51
Count: 53  Distance: 51
Count: 54  Distance: 51
Count: 55  Distance: 51
Count: 56  Distance: 51
Count: 57  Distance: 52
Count: 58  Distance: 51
Count: 59  Distance: 52
Count: 60  Distance: 51
Count: 61  Distance: 51
Count: 62  Distance: 51
Count: 63  Distance: 51
Count: 64  Distance: 51
Count: 65  Distance: 51
Count: 66  Distance: 51
Count: 67  Distance: 51
Count: 68  Distance: 50
Count: 69  Distance: 51
Count: 70  Distance: 51
Count: 71  Distance: 51
Count: 72  Distance: 51
Count: 73  Distance: 51
Count: 74  Distance: 51
Count: 75  Distance: 51
Count: 76  Distance: 51
Count: 77  Distance: 51
Count: 78  Distance: 51
Count: 79  Distance: 51
Count: 80  Distance: 51
Count: 81  Distance: 51
Count: 82  Distance: 51
Count: 83  Distance: 51
Count: 84  Distance: 51
Count: 85  Distance: 51
Count: 86  Distance: 51
Count: 87  Distance: 51
Count: 88  Distance: 51
Count: 89  Distance: 51
Count: 90  Distance: 51
Count: 91  Distance: 51
Count: 92  Distance: 51
Count: 93  Distance: 51
Count: 94  Distance: 51
Count: 95  Distance: 51
Count: 96  Distance: 51
Count: 97  Distance: 52
Count: 98  Distance: 51
Count: 99  Distance: 51
Count: 100  Distance: 51
Count: 101  Distance: 51
Count: 102  Distance: 51
Count: 103  Distance: 50
Count: 104  Distance: 51
Count: 105  Distance: 50
Count: 106  Distance: 51
Count: 107  Distance: 51
Count: 108  Distance: 51
Count: 109  Distance: 51
Count: 110  Distance: 51
Count: 111  Distance: 51
Count: 112  Distance: 51
Count: 113  Distance: 51
Count: 114  Distance: 51
Count: 115  Distance: 51
Count: 116  Distance: 51
Count: 117  Distance: 51
Count: 118  Distance: 50
Count: 119  Distance: 51
Count: 120  Distance: 51
Count: 121  Distance: 51
Count: 122  Distance: 51
Count: 123  Distance: 51
Count: 124  Distance: 51
Count: 125  Distance: 51
Count: 126  Distance: 51
Count: 127  Distance: 51
Count: 128  Distance: 51
Count: 129  Distance: 51
Count: 130  Distance: 51
Count: 131  Distance: 51
Count: 132  Distance: 51
Count: 133  Distance: 50
Count: 134  Distance: 51
Count: 135  Distance: 51
Count: 136  Distance: 50
Count: 137  Distance: 51
Count: 138  Distance: 51
Count: 139  Distance: 50
Count: 140  Distance: 51
Count: 141  Distance: 51
Count: 142  Distance: 51
Count: 143  Distance: 49
Count: 144  Distance: 50
Count: 145  Distance: 51
Count: 146  Distance: 50
Count: 147  Distance: 51
Count: 148  Distance: 50
Count: 149  Distance: 50
Count: 150  Distance: 51
Count: 151  Distance: 51
Count: 152  Distance: 51
Count: 153  Distance: 51
Count: 154  Distance: 51
Count: 155  Distance: 51
Count: 156  Distance: 51
Count: 157  Distance: 51
Count: 158  Distance: 51
Count: 159  Distance: 50
Count: 160  Distance: 51
Count: 161  Distance: 51
Count: 162  Distance: 51
Count: 163  Distance: 51
Count: 164  Distance: 51
Count: 165  Distance: 51
Count: 166  Distance: 51
Count: 167  Distance: 51
Count: 168  Distance: 51
Count: 169  Distance: 51
Count: 170  Distance: 51
Count: 171  Distance: 51
Count: 172  Distance: 51
Count: 173  Distance: 51
Count: 174  Distance: 51
Count: 175  Distance: 51
Count: 176  Distance: 51
Count: 177  Distance: 51
Count: 178  Distance: 51
Count: 179  Distance: 51
Count: 180  Distance: 50
Count: 181  Distance: 51
Count: 182  Distance: 51
Count: 183  Distance: 52
Count: 184  Distance: 51
Count: 185  Distance: 51
Count: 186  Distance: 51
Count: 187  Distance: 51
Count: 188  Distance: 51
Count: 189  Distance: 51
Count: 190  Distance: 51
Count: 191  Distance: 51
Count: 192  Distance: 51
Count: 193  Distance: 50
Count: 194  Distance: 51
Count: 195  Distance: 51
Count: 196  Distance: 51
Count: 197  Distance: 51
Count: 198  Distance: 51
Count: 199  Distance: 50
Count: 200  Distance: 51
Count: 201  Distance: 51
Count: 202  Distance: 51
Count: 203  Distance: 51
Count: 204  Distance: 51
Count: 205  Distance: 51
Count: 206  Distance: 51
Count: 207  Distance: 51
Count: 208  Distance: 50
Count: 209  Distance: 51
Count: 210  Distance: 51
Count: 211  Distance: 51
Count: 212  Distance: 51
Count: 213  Distance: 51
Count: 214  Distance: 51
Count: 215  Distance: 51
Count: 216  Distance: 51
Count: 217  Distance: 51
Count: 218  Distance: 51
Count: 219  Distance: 51
Count: 220  Distance: 51
Count: 221  Distance: 51
Count: 222  Distance: 51
Count: 223  Distance: 51
Count: 224  Distance: 51
Count: 225  Distance: 51
Count: 226  Distance: 51
Count: 227  Distance: 51
Count: 228  Distance: 51
Count: 229  Distance: 50
Count: 230  Distance: 52
Count: 231  Distance: 50
Count: 232  Distance: 52
Count: 233  Distance: 51
Count: 234  Distance: 51
Count: 235  Distance: 50
Count: 236  Distance: 52
Count: 237  Distance: 52
Count: 238  Distance: 50
Count: 239  Distance: 51
Count: 240  Distance: 50
Count: 241  Distance: 51
Count: 242  Distance: 51
